activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749413907.980646,1
aggregation,,False,,,1,GossipAvg,1749413978.132892,
aggregation,,True,,,1,GossipAvg,1749413978.132902,
aggregation,,False,,,1,GossipAvg,1749413978.1329093,
model_update,,,,3.0496681739557707,1,,1749413982.7191787,
local_training,,,{},,2,,1749413983.2207642,1
aggregation,,False,,,2,GossipAvg,1749413992.729307,
aggregation,,True,,,2,GossipAvg,1749413992.7293158,
aggregation,,False,,,2,GossipAvg,1749413992.7293236,
model_update,,,,3.656828918026143,2,,1749413996.7007139,
local_training,,,{},,3,,1749413997.196874,1
aggregation,,False,,,3,GossipAvg,1749414006.7049916,
aggregation,,True,,,3,GossipAvg,1749414006.7049997,
aggregation,,False,,,3,GossipAvg,1749414006.7050064,
model_update,,,,3.724309743652356,3,,1749414010.7164118,
