activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749357847.9905984,1
aggregation,,False,,,1,GossipAvg,1749357861.3330958,
aggregation,,True,,,1,GossipAvg,1749357861.333104,
aggregation,,False,,,1,GossipAvg,1749357861.333111,
model_update,,,,2.2251291205240973,1,,1749357861.9261956,
local_training,,,{},,2,,1749357862.252491,1
aggregation,,False,,,2,GossipAvg,1749357865.0883436,
aggregation,,True,,,2,GossipAvg,1749357865.088351,
aggregation,,False,,,2,GossipAvg,1749357865.0883584,
model_update,,,,2.3676523430827703,2,,1749357865.639407,
local_training,,,{},,3,,1749357865.9702766,1
aggregation,,False,,,3,GossipAvg,1749357868.8738892,
aggregation,,True,,,3,GossipAvg,1749357868.8738966,
aggregation,,False,,,3,GossipAvg,1749357868.8739035,
model_update,,,,2.3668774735935854,3,,1749357869.4266937,
