activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1753387816.6145685,3
aggregation,,False,,,1,GossipAvg,1753387839.3786511,
aggregation,,True,,,1,GossipAvg,1753387839.3786645,
aggregation,,False,,,1,GossipAvg,1753387839.378677,
model_update,,,,17.72421970719733,1,,1753387840.5184538,
local_training,,,{},,2,,1753387841.639851,3
aggregation,,False,,,2,GossipAvg,1753387846.9575202,
aggregation,,True,,,2,GossipAvg,1753387846.957532,
aggregation,,False,,,2,GossipAvg,1753387846.9575474,
model_update,,,,14.388198264378508,2,,1753387848.000182,
local_training,,,{},,3,,1753387848.8916342,3
aggregation,,False,,,3,GossipAvg,1753387854.057601,
aggregation,,True,,,3,GossipAvg,1753387854.0576153,
aggregation,,False,,,3,GossipAvg,1753387854.0576303,
model_update,,,,14.492971713110332,3,,1753387855.101157,
local_training,,,{},,4,,1753387856.0455878,3
aggregation,,False,,,4,GossipAvg,1753387861.2020314,
aggregation,,True,,,4,GossipAvg,1753387861.2020447,
aggregation,,False,,,4,GossipAvg,1753387861.2020566,
model_update,,,,14.825639752529124,4,,1753387862.2805843,
local_training,,,{},,5,,1753387863.1881068,3
aggregation,,False,,,5,GossipAvg,1753387868.579566,
aggregation,,True,,,5,GossipAvg,1753387868.57958,
aggregation,,False,,,5,GossipAvg,1753387868.5795927,
model_update,,,,15.171562331864413,5,,1753387869.6158698,
local_training,,,{},,6,,1753387870.5441594,3
aggregation,,False,,,6,GossipAvg,1753387875.7004673,
aggregation,,True,,,6,GossipAvg,1753387875.7004805,
aggregation,,False,,,6,GossipAvg,1753387875.700494,
model_update,,,,15.504403499576336,6,,1753387876.7195556,
local_training,,,{},,7,,1753387877.6629176,3
aggregation,,False,,,7,GossipAvg,1753387882.8442328,
aggregation,,True,,,7,GossipAvg,1753387882.8442464,
aggregation,,False,,,7,GossipAvg,1753387882.844259,
model_update,,,,15.803928391887798,7,,1753387883.8383918,
local_training,,,{},,8,,1753387884.7626543,3
aggregation,,False,,,8,GossipAvg,1753387890.0444121,
aggregation,,True,,,8,GossipAvg,1753387890.0444248,
aggregation,,False,,,8,GossipAvg,1753387890.0444415,
model_update,,,,16.074793365444485,8,,1753387891.0686967,
local_training,,,{},,9,,1753387892.0302541,3
aggregation,,False,,,9,GossipAvg,1753387897.205704,
aggregation,,True,,,9,GossipAvg,1753387897.2057185,
aggregation,,False,,,9,GossipAvg,1753387897.205733,
model_update,,,,16.321621840913966,9,,1753387898.2218735,
local_training,,,{},,10,,1753387899.1671262,3
aggregation,,False,,,10,GossipAvg,1753387904.3227556,
aggregation,,True,,,10,GossipAvg,1753387904.32277,
aggregation,,False,,,10,GossipAvg,1753387904.3227851,
model_update,,,,16.543784493487383,10,,1753387905.3250217,
