activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749395637.4418914,1
aggregation,,False,,,1,GossipAvg,1749395649.7310774,
aggregation,,True,,,1,GossipAvg,1749395649.731085,
aggregation,,False,,,1,GossipAvg,1749395649.731092,
model_update,,,,2.251359374787226,1,,1749395650.2920642,
local_training,,,{},,2,,1749395650.623542,1
aggregation,,False,,,2,GossipAvg,1749395652.2836041,
aggregation,,True,,,2,GossipAvg,1749395652.2836115,
aggregation,,False,,,2,GossipAvg,1749395652.2836192,
model_update,,,,2.387453527223167,2,,1749395652.823957,
local_training,,,{},,3,,1749395653.1635947,1
aggregation,,False,,,3,GossipAvg,1749395654.8280458,
aggregation,,True,,,3,GossipAvg,1749395654.8280525,
aggregation,,False,,,3,GossipAvg,1749395654.8280594,
model_update,,,,2.3861787054606665,3,,1749395655.3571317,
