activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749415115.8284464,1
aggregation,,False,,,1,GossipAvg,1749415132.9326668,
aggregation,,True,,,1,GossipAvg,1749415132.932674,
aggregation,,False,,,1,GossipAvg,1749415132.9326813,
model_update,,,,1.3816507300164662,1,,1749415139.1483266,
local_training,,,{},,2,,1749415139.6500332,1
aggregation,,False,,,2,GossipAvg,1749415148.3057747,
aggregation,,True,,,2,GossipAvg,1749415148.3057868,
aggregation,,False,,,2,GossipAvg,1749415148.3058167,
model_update,,,,1.7144291637326412,2,,1749415153.7901123,
local_training,,,{},,3,,1749415154.282048,1
aggregation,,False,,,3,GossipAvg,1749415162.9552264,
aggregation,,True,,,3,GossipAvg,1749415162.9552333,
aggregation,,False,,,3,GossipAvg,1749415162.9552608,
model_update,,,,1.752052230441159,3,,1749415168.4853961,
