activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749433804.6156974,1
aggregation,,False,,,1,GossipAvg,1749433823.2440727,
aggregation,,True,,,1,GossipAvg,1749433823.244083,
aggregation,,False,,,1,GossipAvg,1749433823.2440927,
model_update,,,,0.6911307283699809,1,,1749433832.682549,
local_training,,,{},,2,,1749433833.1956792,1
aggregation,,False,,,2,GossipAvg,1749433842.8688436,
aggregation,,True,,,2,GossipAvg,1749433842.868851,
aggregation,,False,,,2,GossipAvg,1749433842.8688593,
model_update,,,,0.9070309288147259,2,,1749433851.8005161,
local_training,,,{},,3,,1749433852.3169932,1
aggregation,,False,,,3,GossipAvg,1749433861.988703,
aggregation,,True,,,3,GossipAvg,1749433861.9887109,
aggregation,,False,,,3,GossipAvg,1749433861.9887197,
model_update,,,,0.9419680111368817,3,,1749433870.9013622,
