activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1753385264.6664958,3
aggregation,,False,,,1,GossipAvg,1753385275.3541985,
aggregation,,True,,,1,GossipAvg,1753385275.3542113,
aggregation,,False,,,1,GossipAvg,1753385275.3542564,
model_update,,,,0.5671347641536719,1,,1753385276.3210306,
local_training,,,{},,2,,1753385277.1418457,3
aggregation,,False,,,2,GossipAvg,1753385288.882795,
aggregation,,True,,,2,GossipAvg,1753385288.882811,
aggregation,,False,,,2,GossipAvg,1753385288.8828247,
model_update,,,,0.8237879038451789,2,,1753385289.8463545,
local_training,,,{},,3,,1753385290.744226,3
aggregation,,False,,,3,GossipAvg,1753385301.4343245,
aggregation,,True,,,3,GossipAvg,1753385301.4343362,
aggregation,,False,,,3,GossipAvg,1753385301.4343486,
model_update,,,,0.9345737495453493,3,,1753385302.4096088,
local_training,,,{},,4,,1753385303.167824,3
aggregation,,False,,,4,GossipAvg,1753385313.1195679,
aggregation,,True,,,4,GossipAvg,1753385313.119579,
aggregation,,False,,,4,GossipAvg,1753385313.1195917,
model_update,,,,0.9426960781099816,4,,1753385314.1184494,
local_training,,,{},,5,,1753385314.9269347,3
aggregation,,False,,,5,GossipAvg,1753385324.3852606,
aggregation,,True,,,5,GossipAvg,1753385324.3852735,
aggregation,,False,,,5,GossipAvg,1753385324.3852856,
model_update,,,,0.9381779144384232,5,,1753385325.366786,
local_training,,,{},,6,,1753385326.1281118,3
aggregation,,False,,,6,GossipAvg,1753385336.9080179,
aggregation,,True,,,6,GossipAvg,1753385336.908031,
aggregation,,False,,,6,GossipAvg,1753385336.908044,
model_update,,,,1.0017324314206737,6,,1753385337.9121866,
local_training,,,{},,7,,1753385338.8165612,3
aggregation,,False,,,7,GossipAvg,1753385340.7685144,
aggregation,,True,,,7,GossipAvg,1753385340.7685273,
aggregation,,False,,,7,GossipAvg,1753385340.7685404,
model_update,,,,1.050453572538041,7,,1753385341.7813907,
local_training,,,{},,8,,1753385342.595715,3
aggregation,,False,,,8,GossipAvg,1753385344.918624,
aggregation,,True,,,8,GossipAvg,1753385344.9186509,
aggregation,,False,,,8,GossipAvg,1753385344.9186656,
model_update,,,,1.1593430779067178,8,,1753385345.906877,
local_training,,,{},,9,,1753385346.6676576,3
aggregation,,False,,,9,GossipAvg,1753385356.8469555,
aggregation,,True,,,9,GossipAvg,1753385356.8469706,
aggregation,,False,,,9,GossipAvg,1753385356.8469863,
model_update,,,,1.2663456842055991,9,,1753385357.846125,
local_training,,,{},,10,,1753385358.614768,3
aggregation,,False,,,10,GossipAvg,1753385360.7724547,
aggregation,,True,,,10,GossipAvg,1753385360.7724695,
aggregation,,False,,,10,GossipAvg,1753385360.7724843,
model_update,,,,1.2624341504235992,10,,1753385361.7653992,
