activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749396272.7619677,1
aggregation,,False,,,1,GossipAvg,1749396284.8329794,
aggregation,,True,,,1,GossipAvg,1749396284.8329883,
aggregation,,False,,,1,GossipAvg,1749396284.8329957,
model_update,,,,2.299509871115197,1,,1749396285.6787977,
local_training,,,{},,2,,1749396286.0081222,1
aggregation,,False,,,2,GossipAvg,1749396287.4214292,
aggregation,,True,,,2,GossipAvg,1749396287.4214368,
aggregation,,False,,,2,GossipAvg,1749396287.4214444,
model_update,,,,2.5322087374464344,2,,1749396288.2480526,
local_training,,,{},,3,,1749396288.5793812,1
aggregation,,False,,,3,GossipAvg,1749396290.1402342,
aggregation,,True,,,3,GossipAvg,1749396290.140242,
aggregation,,False,,,3,GossipAvg,1749396290.1402502,
model_update,,,,2.530921748490916,3,,1749396290.9436252,
